coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
a6f62638-4d53-4865-9c46-39021b503adc,,,preservedspecimen,,shortia,uvmvt259211,magnoliopsida,,58ab88f3-0034-461c-9c44-9e525c4d360f,,,,,asia,,japan,jpn,,,2018-08-24T10:25:32.978645+00:00,0.10144927536231885,,,,,,59405fbc7cedb82a44049e61a216fd3d653d111d,,diapensiaceae,,"[""dwc_taxonrank_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,true,true,,,,,vt,,,plantae,,,,,,,,,,,"[""15c883f7-9055-427d-a281-edf6c162d070""]",,,,,770041d1-6f1b-4d84-bf3a-8c14f10a1657,ericales,tracheophyta,"[""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\16631659"", ""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\770041d1-6f1b-4d84-bf3a-8c14f10a1657"", ""urn:uuid:770041d1-6f1b-4d84-bf3a-8c14f10a1657""]",,3027c437-cdb3-4072-9410-5a46ec3b1fd5,shortia,,,,2882389,accepted,genus,,a6f62638-4d53-4865-9c46-39021b503adc,,,,
5391233f-3f4c-4f97-85ac-d224c2307d37,,,preservedspecimen,,shortia,uvmvt259213,magnoliopsida,,58ab88f3-0034-461c-9c44-9e525c4d360f,,,,,asia,,japan,jpn,,,2018-08-24T10:25:32.978645+00:00,0.10144927536231885,,,,,,ce3a39724c71c3fdd200532c32d6141e93762a87,,diapensiaceae,,"[""dwc_taxonrank_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,true,true,,,,,vt,,,plantae,,,,,,,,,,,"[""0794f980-5478-4308-9f1d-a9330d68cfc0""]",,,,,8b44be40-1a16-4ed2-8db6-4b9f42cd4b76,ericales,tracheophyta,"[""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\16631661"", ""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\8b44be40-1a16-4ed2-8db6-4b9f42cd4b76"", ""urn:uuid:8b44be40-1a16-4ed2-8db6-4b9f42cd4b76""]",,3027c437-cdb3-4072-9410-5a46ec3b1fd5,shortia,,,,2882389,accepted,genus,,5391233f-3f4c-4f97-85ac-d224c2307d37,,,,
f00b80f9-e1e0-4358-a196-c17adbb1df5c,,,preservedspecimen,,shortia galacifolia,mel 2130514a,magnoliopsida,mel,,,"prince, a.e.",,,north america,,united states,usa,,1944-03-18T00:00:00+00:00,2017-12-06T15:42:14.650642+00:00,0.2318840579710145,,,,,,3a5a5504bfddd0b330ec91896ca46692b792ea4c,1944-03-18,diapensiaceae,1378,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_class_added""]",,shortia,,,,false,false,,,,,mel,,,plantae,,,,,,,"by whitewater river, above jocassee, oconee county.",,,,,,,,,134358be-8206-435d-85ab-c85adc922078,ericales,tracheophyta,"[""c55ac6d0-180d-41be-829a-e82898c5ca54\\134358be-8206-435d-85ab-c85adc922078""]",1378,c55ac6d0-180d-41be-829a-e82898c5ca54,shortia galacifolia torr. & gray,galacifolia,78,south carolina,5333326,accepted,species,,f00b80f9-e1e0-4358-a196-c17adbb1df5c,,,,
dbb07b87-97e6-4014-a19f-ae8ae10b5a5a,,,preservedspecimen,,shortia galacifolia,clems0042919,magnoliopsida,,81b5c57b-5f26-423f-93b6-d4dc434fe707,,"john e. fairey, iii",,,north america,,united states,usa,oconee,1976-07-28,2018-07-27T09:33:24.407508+00:00,0.17391304347826086,,,,,,ee920445670432bb6edf991934d89e0d22a6149c,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,shortia,,,,false,false,,,,,clems,,,plantae,,,,,,,,,,,,,,,,428c8c98-7e17-4261-9ed3-0fef510d1ece,ericales,tracheophyta,"[""urn:uuid:428c8c98-7e17-4261-9ed3-0fef510d1ece"", ""264c48ec-8636-451f-a7e0-74131bc6f84c\\16249266"", ""264c48ec-8636-451f-a7e0-74131bc6f84c\\428c8c98-7e17-4261-9ed3-0fef510d1ece""]",,264c48ec-8636-451f-a7e0-74131bc6f84c,shortia galacifolia,galacifolia,210,south carolina,5333326,accepted,species,,dbb07b87-97e6-4014-a19f-ae8ae10b5a5a,,,,
d700cb25-2ab2-452e-bbfa-2c66fa0ba1db,,,preservedspecimen,,shortia galacifolia,barcode-01046783,magnoliopsida,a,urn:lsid:biocol.org:col:15406,,c. w. wang,,,asia,,china,chn,,1935-09-23T00:00:00+00:00,2019-09-22T23:27:09.934987+00:00,0.2463768115942029,,,,,,bb76dbb86c355b11a16051c6d4b29e375ef76d97,1935-09,diapensiaceae,66685,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_order_added"", ""idigbio_isocountrycode_added"", ""dwc_taxonid_added"", ""dwc_phylum_added"", ""gbif_taxon_corrected"", ""dwc_class_added"", ""dwc_kingdom_added""]",,shortia,,,,false,false,,,,,a,urn:lsid:biocol.org:col:15406,,plantae,,,,,,,"soo-roo-la, cham-pu-tang",,,,,,,,,8678e8c0-b3d2-4bd0-b37d-d72a52b960a0,ericales,tracheophyta,"[""7450a9e3-ef95-4f9e-8260-09b498d2c5e6\\http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8678e8c0-b3d2-4bd0-b37d-d72a52b960a0"", ""7450a9e3-ef95-4f9e-8260-09b498d2c5e6\\8678e8c0-b3d2-4bd0-b37d-d72a52b960a0""]",66685,7450a9e3-ef95-4f9e-8260-09b498d2c5e6,berneuxia thibetica decaisne,galacifolia,266,yunnan,5333326,accepted,species,,d700cb25-2ab2-452e-bbfa-2c66fa0ba1db,,"soo-roo-la, cham-pu-tang",,
33da3b27-9749-41e3-9b10-7e2d9850670b,,,preservedspecimen,,shortia galacifolia,015510,magnoliopsida,,2bed6ae5-afde-45bb-95a9-c4918414f02d,,,,,north america,,united states,usa,mcdowell,,2019-03-16T09:03:24.551985+00:00,0.13043478260869565,,,,,,60766f5b579dd9b93569b24efb745076d655ae9b,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,true,true,,,,,boon,,,plantae,,,,,,,,,,,"[""c4022bfa-e439-400b-af35-42fb2b91d79f""]",,,,,e98ea315-f134-4dfc-8b71-cfad69b9187e,ericales,tracheophyta,"[""e23109b4-e143-437c-b329-3dff7cb35488\\e98ea315-f134-4dfc-8b71-cfad69b9187e"", ""e23109b4-e143-437c-b329-3dff7cb35488\\20387024"", ""urn:uuid:e98ea315-f134-4dfc-8b71-cfad69b9187e""]",,e23109b4-e143-437c-b329-3dff7cb35488,shortia galacifolia,galacifolia,,north carolina,5333326,accepted,species,,33da3b27-9749-41e3-9b10-7e2d9850670b,,,,
cfa42779-13b8-4d7c-a32c-2bc2dbe2484a,,,preservedspecimen,,shortia galacifolia,015514,magnoliopsida,,2bed6ae5-afde-45bb-95a9-c4918414f02d,,,,,north america,,united states,usa,mcdowell,,2019-03-16T09:03:24.551985+00:00,0.13043478260869565,,,,,,4b2d5e3d23e456ed663c93ba32c8a1e362b810f2,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,true,true,,,,,boon,,,plantae,,,,,,,,,,,"[""a4e88883-cef3-4ccc-bd2c-1ad26f9d379a""]",,,,,0fe2dbdf-4fe0-4dbd-836b-ca8c0a23cd22,ericales,tracheophyta,"[""e23109b4-e143-437c-b329-3dff7cb35488\\20387030"", ""e23109b4-e143-437c-b329-3dff7cb35488\\0fe2dbdf-4fe0-4dbd-836b-ca8c0a23cd22"", ""urn:uuid:0fe2dbdf-4fe0-4dbd-836b-ca8c0a23cd22""]",,e23109b4-e143-437c-b329-3dff7cb35488,shortia galacifolia,galacifolia,,north carolina,5333326,accepted,species,,cfa42779-13b8-4d7c-a32c-2bc2dbe2484a,,,,
db51eb87-40be-4651-974e-6e5bc71eeb95,,,preservedspecimen,,shortia galacifolia,ncu00042370,magnoliopsida,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"berly, j.",,,north america,,united states,usa,oconee,1944-06-27,2018-04-12T15:05:30.284524+00:00,0.17391304347826086,,,,,,d598cda9deae4a66b2a357afa5dffc20105c3717,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,false,false,,,,,ncu,,,plantae,,,,,,,,,,,,,,,,d27dbfb0-2410-4af8-a12e-ab5881c01b11,ericales,tracheophyta,"[""4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\16996410"", ""urn:uuid:d27dbfb0-2410-4af8-a12e-ab5881c01b11"", ""4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\d27dbfb0-2410-4af8-a12e-ab5881c01b11""]",,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,shortia galacifolia,galacifolia,179,south carolina,5333326,accepted,species,,db51eb87-40be-4651-974e-6e5bc71eeb95,,,,
0b763fee-e3e6-4a57-9eab-5f8a2417d30d,,,preservedspecimen,,shortia galacifolia,duke10095697,magnoliopsida,,274b5332-1247-4374-b124-c819b814cd6e,,,,,north america,,united states,usa,oconee,,2018-05-09T09:49:01.845339+00:00,0.13043478260869565,,,,,,535ed8983ede187784535ecc2b8aaa3492625afb,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,false,false,,,,,duke,,,plantae,,,,,,,,,,,,,,,,e37022a9-d96e-4f3f-b14d-60ac61d0fb82,ericales,tracheophyta,"[""6258d160-a7aa-4937-bce3-3538eebd374f\\15881006"", ""6258d160-a7aa-4937-bce3-3538eebd374f\\e37022a9-d96e-4f3f-b14d-60ac61d0fb82"", ""urn:uuid:e37022a9-d96e-4f3f-b14d-60ac61d0fb82""]",,6258d160-a7aa-4937-bce3-3538eebd374f,shortia galacifolia,galacifolia,,south carolina,5333326,accepted,species,,0b763fee-e3e6-4a57-9eab-5f8a2417d30d,,,,
08b4930b-b4e3-423f-9b85-2f3f5b87eaf1,,,preservedspecimen,,shortia galacifolia,clems0042936,magnoliopsida,,81b5c57b-5f26-423f-93b6-d4dc434fe707,,d. b. rosenkrans,,,north america,,united states,usa,pickens,1931-07-28,2018-07-27T09:33:24.407508+00:00,0.17391304347826086,,,,,,857ab3ffdf2bfda9fed91feba66d664ae32b9fc3,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,shortia,,,,false,false,,,,,clems,,,plantae,,,,,,,,,,,,,,,,09719895-11a4-45ff-85b1-09a9348f0c8c,ericales,tracheophyta,"[""264c48ec-8636-451f-a7e0-74131bc6f84c\\09719895-11a4-45ff-85b1-09a9348f0c8c"", ""urn:uuid:09719895-11a4-45ff-85b1-09a9348f0c8c"", ""264c48ec-8636-451f-a7e0-74131bc6f84c\\16249241""]",,264c48ec-8636-451f-a7e0-74131bc6f84c,shortia galacifolia,galacifolia,209,south carolina,5333326,accepted,species,,08b4930b-b4e3-423f-9b85-2f3f5b87eaf1,,,,
5a7d32b5-4d55-463b-a9cd-6b909057b145,,,preservedspecimen,,shortia galacifolia,tenn-v-0170875,magnoliopsida,,565b6f19-288f-4614-a4c9-b09448e96547,,,,,north america,,united states,usa,,,2019-04-12T08:44:10.758082+00:00,0.11594202898550725,,,,,,ffcae59a896537681b2bdc286620cff2e5c559f3,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,true,true,,,,,tenn,,,plantae,,,,,,,,,,,"[""d4388a19-43a6-4e6c-ac4b-b2782c0f77e4""]",,,,,7912f43d-4087-4826-b942-d6829a89549f,ericales,tracheophyta,"[""d53132e6-7997-4850-8607-4fec5a3f9c3f\\7912f43d-4087-4826-b942-d6829a89549f"", ""urn:uuid:7912f43d-4087-4826-b942-d6829a89549f"", ""d53132e6-7997-4850-8607-4fec5a3f9c3f\\14305079""]",,d53132e6-7997-4850-8607-4fec5a3f9c3f,shortia galacifolia,galacifolia,,north carolina,5333326,accepted,species,,5a7d32b5-4d55-463b-a9cd-6b909057b145,,,,
12188944-f3a1-47ac-a8a2-acd28ed4be61,,,preservedspecimen,,sclerotium,bpi 456353,agaricomycetes,,,,diehl w. w.,,,north america,,united states,usa,,,2014-11-10T14:10:41.274000+00:00,0.21739130434782608,,,,,,2448c82a93bbf12cd2373ddbc8c8c3e3e33ed980,1926-05-00,ceratobasidiaceae,,"[""dwc_taxonrank_added"", ""dwc_country_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected""]",,sclerotium,,,,false,false,,,,,bpi,,,fungi,,,,,,,"coley creek, pickens co.",,,,,,,,,1360668,cantharellales,basidiomycota,"[""urn:uuid:5bc72423-d21d-47ab-96b0-1eebd5a6431d""]",,e95396c4-1cac-4c9b-b461-5f21cd978fc6,sclerotium,,,south carolina,9226272,doubtful,genus,,12188944-f3a1-47ac-a8a2-acd28ed4be61,1926 may 00,,,
e5a341a7-1da2-40a0-8f21-38fade3d1eae,,,preservedspecimen,,discohainesia oenotherae,bpi 656351b,leotiomycetes,,,,shear; dodge; stevens; diehl,,,north america,,united states,usa,,1921-10-10T00:00:00+00:00,2014-11-10T10:42:41.372000+00:00,0.15942028985507245,,,,,,f6747f27296c23730754bfdd3055b9fae200b46e,1921-10-10,chaetomellaceae,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_replaced"", ""dwc_class_replaced""]",,discohainesia,,,,false,false,,,,,bpi,,,fungi,,,,,,,toxaway bear wallow cove,,,,,,,,,1585294,helotiales,ascomycota,"[""urn:uuid:4deb2d6b-fa2b-49fd-ae77-4587e642f841""]",,e95396c4-1cac-4c9b-b461-5f21cd978fc6,discohainesia oenotherae,oenotherae,283,north carolina,2577749,accepted,species,,e5a341a7-1da2-40a0-8f21-38fade3d1eae,1921 oct 10,,,
9cce79db-e572-40c2-a810-b0d8b83619bf,,,preservedspecimen,,shortia galacifolia,27718,magnoliopsida,herb,,,w. r. davis,,,,,united states,usa,,1900-06-27T00:00:00+00:00,2018-04-23T16:15:30.597077+00:00,0.17391304347826086,,,,,,82f9ac6424721bfbf605667e7e17a51862040d88,1900,diapensiaceae,,"[""dwc_stateprovince_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_country_replaced"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,shortia,,,,true,true,plantae | dicots | diapensiaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,,,,,"[""b6ce4e8a-4a23-4e35-bf53-12b8319201a5""]",,,,,794c8f49-3dd9-46ed-8701-8419d913eac3,ericales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\794c8f49-3dd9-46ed-8701-8419d913eac3"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:27718""]",,f1cf8457-237e-487a-9d13-5de7d81b9de4,shortia galacifolia,galacifolia,178,,5333326,accepted,species,,9cce79db-e572-40c2-a810-b0d8b83619bf,,,,
03520a72-5a5d-40ff-a69a-24a7c4c9e42f,,,preservedspecimen,,discohainesia oenotherae,bpi 656351a,leotiomycetes,,,,shear; dodge; stevens; diehl,,,north america,,united states,usa,,1921-10-10T00:00:00+00:00,2014-11-10T11:39:18.173000+00:00,0.15942028985507245,,,,,,272550241b3f81dd7a7f1b56c6a761eaab259510,1921-10-10,chaetomellaceae,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_order_replaced"", ""dwc_class_replaced""]",,discohainesia,,,,false,false,,,,,bpi,,,fungi,,,,,,,toxaway bear wallow cove,,,,,,,,,1585293,helotiales,ascomycota,"[""urn:uuid:4a23b5b0-f637-4b74-9d43-10f16177ecd0""]",,e95396c4-1cac-4c9b-b461-5f21cd978fc6,discohainesia oenotherae,oenotherae,283,north carolina,2577749,accepted,species,,03520a72-5a5d-40ff-a69a-24a7c4c9e42f,1921 oct 10,,,
852e1de9-cf3f-4d43-b00e-afa6730d039a,,,preservedspecimen,,shortia galacifolia,duke10095688,magnoliopsida,,274b5332-1247-4374-b124-c819b814cd6e,,,,,north america,,united states,usa,transylvania,,2018-05-09T09:49:01.845339+00:00,0.13043478260869565,,,,,,4878c6356ae0e0f6119ead284b2abca678e3c8a1,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,false,false,,,,,duke,,,plantae,,,,,,,,,,,,,,,,232764b7-fd5c-4c12-bc99-3da5a0d1daa3,ericales,tracheophyta,"[""urn:uuid:232764b7-fd5c-4c12-bc99-3da5a0d1daa3"", ""6258d160-a7aa-4937-bce3-3538eebd374f\\15880997"", ""6258d160-a7aa-4937-bce3-3538eebd374f\\232764b7-fd5c-4c12-bc99-3da5a0d1daa3""]",,6258d160-a7aa-4937-bce3-3538eebd374f,shortia galacifolia,galacifolia,,north carolina,5333326,accepted,species,,852e1de9-cf3f-4d43-b00e-afa6730d039a,,,,
c77c8b2a-7591-46b2-9320-655653670082,,,preservedspecimen,,shortia galacifolia,tenn-v-0170876,magnoliopsida,,565b6f19-288f-4614-a4c9-b09448e96547,,,,,north america,,united states,usa,mcminn,,2019-04-12T08:44:10.758082+00:00,0.13043478260869565,,,,,,cd9617d10fe0b8d8212c558292ad9ac5f7b40268,,diapensiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,shortia,,,,true,true,,,,,tenn,,,plantae,,,,,,,,,,,"[""8e508299-be53-4819-b976-3eb322740a13""]",,,,,40ff0bad-47fc-4938-aa8f-d7e76da61302,ericales,tracheophyta,"[""urn:uuid:40ff0bad-47fc-4938-aa8f-d7e76da61302"", ""d53132e6-7997-4850-8607-4fec5a3f9c3f\\14305080"", ""d53132e6-7997-4850-8607-4fec5a3f9c3f\\40ff0bad-47fc-4938-aa8f-d7e76da61302""]",,d53132e6-7997-4850-8607-4fec5a3f9c3f,shortia galacifolia,galacifolia,,tennessee,5333326,accepted,species,,c77c8b2a-7591-46b2-9320-655653670082,,,,
e93a5e83-7320-41f2-bbf5-d3f48a7251cf,,,preservedspecimen,,shortia galacifolia,barcode-01046765,magnoliopsida,a,urn:lsid:biocol.org:col:15406,,z. t. wang,,,asia,,china,chn,guanxian,1987-07-30T00:00:00+00:00,2019-09-22T23:27:09.934987+00:00,0.2608695652173913,,,,,,5e3b7c5b7b5d76d9dc3fae1f53404349edce4983,1987-07-30,diapensiaceae,8700267,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_order_added"", ""idigbio_isocountrycode_added"", ""dwc_taxonid_added"", ""dwc_phylum_added"", ""gbif_taxon_corrected"", ""dwc_class_added"", ""dwc_kingdom_added""]",,shortia,,,,false,false,,,,,a,urn:lsid:biocol.org:col:15406,,plantae,,,,,,,menkanshan,,,,,,,,,63b31d97-08c7-493f-a603-8c431b88e83e,ericales,tracheophyta,"[""7450a9e3-ef95-4f9e-8260-09b498d2c5e6\\http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/63b31d97-08c7-493f-a603-8c431b88e83e"", ""7450a9e3-ef95-4f9e-8260-09b498d2c5e6\\63b31d97-08c7-493f-a603-8c431b88e83e""]",8700267,7450a9e3-ef95-4f9e-8260-09b498d2c5e6,berneuxia thibetica decaisne,galacifolia,211,sichuan,5333326,accepted,species,,e93a5e83-7320-41f2-bbf5-d3f48a7251cf,,menkanshan,,
