"ID","name","basis","coordinateUncertaintyInMeters","informationWithheld","lat","long","date","year","month","day"
"017393aa-66fc-40c8-9c0d-721094b5e057","Galax urceolata","PreservedSpecimen",4514,NA,35.23,-82.73,1981-05-02,1981,5,2
"018211d3-6c31-415b-8954-bf2e06962934","Galax urceolata","PreservedSpecimen",NA,NA,36.83,-84.33,1997-05-13,1997,5,13
"02e541f0-6844-4ca8-bc44-68efd9336cfd","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.15,-79.37,NA,NA,NA,NA
"0767e7a0-9996-410a-9894-9b6c5c63cfac","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.73,-81.9,NA,NA,NA,NA
"09d81681-42db-467d-ac3b-cabad61a0b77","Galax urceolata","PreservedSpecimen",NA,NA,36.66,-83.58,1977-05-19,1977,5,19
"0bc8567a-55d9-44be-abb3-d1ea42014838","Galax urceolata","PreservedSpecimen",1269,NA,35.94,-82.01,1958-06-17,1958,6,17
"1184f371-6a02-4f03-a40e-dbfae7668ea4","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.24,-81.27,NA,NA,NA,NA
"1ad76e06-a036-4a92-a67e-8ee44130e7dd","Galax urceolata","PreservedSpecimen",10058,NA,34.19,-84.58,1948-06-13,1948,6,13
"1d2d732d-6ffc-4dd0-be74-1eae365ff5a8","Galax urceolata","PreservedSpecimen",3036,NA,34.88,-83.02,1953-04-20,1953,4,20
"1f8210da-8719-4749-ab28-5377b8a45683","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.06,-83.19,NA,NA,NA,NA
"2784c351-dd31-486a-906f-2b8197a7b7ab","Galax urceolata","PreservedSpecimen",NA,NA,35.02,-82.73,2003-06-11,2003,6,11
"28db60fb-bf81-476d-963b-9861faec70ff","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",36.44,-76.69,NA,NA,NA,NA
"2bb4a127-703f-45d0-bdc9-5a8215affcfd","Galax urceolata","PreservedSpecimen",500,NA,36.84,-84.34,1940-09-10,1940,9,10
"318bb565-8632-49bf-aedf-0c7f38ca70b3","Galax urceolata","PreservedSpecimen",70151,NA,35.56,-84.01,NA,NA,NA,NA
"31b479ef-0f86-48a4-a8b0-8807cc9923d3","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.24,-77.88,NA,NA,NA,NA
"34642f46-2ab6-49b7-8008-b1e1a26c49d7","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",34.75,-83.79,2014-05-31,2014,5,31
"423421b2-e633-4d3a-9d8f-0e5b436c52d6","Galax urceolata","PreservedSpecimen",2162,NA,33.61,-81.81,1971-10-09,1971,10,9
"497db17d-2fbf-4066-ae06-06f2e4a88531","Galax urceolata","PreservedSpecimen",301,NA,35.69,-82.38,1962-07-26,1962,7,26
"4c21bab1-3131-4809-83ae-60f2b0d460d6","Galax urceolata","PreservedSpecimen",NA,NA,34.68,-83.32,2015-05-19,2015,5,19
"505d1f9b-dfec-4217-85fd-3c5edb620000","Galax urceolata","PreservedSpecimen",NA,NA,37.7,-83.36,2007-05-27,2007,5,27
"55cebfc8-61f3-4bb8-8dc2-13ba9d8267b7","Galax urceolata","PreservedSpecimen",NA,NA,33.88,-85.3,2002-05-17,2002,5,17
"5829f121-72b3-4eb2-aa41-f077b1335c71","Galax urceolata","PreservedSpecimen",3827,NA,37.67,-80.33,1954-05-28,1954,5,28
"5970dca2-4519-498d-8e5d-91b1d829cd85","Galax urceolata","PreservedSpecimen",111,NA,36,-83.95,1961-10-25,1961,10,25
"5c4c467c-9ed2-494d-a266-8fe0ed16cc64","Galax urceolata","PreservedSpecimen",NA,NA,35.63,-83.95,1993-06-04,1993,6,4
"5ede8f5b-5903-4a8b-8ec4-a2817718f8ae","Galax urceolata","PreservedSpecimen",NA,NA,35.06,-87.77,1999-10-27,1999,10,27
"5f708598-206f-49a2-963e-d08a98fdb4d5","Galax urceolata","PreservedSpecimen",500,NA,35.75,-82.22,1974-04-27,1974,4,27
"6042877e-7f26-4f9b-88d7-412a3a0c7bbb","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",36.34,-80.47,NA,NA,NA,NA
"640a9ab7-9e95-4ebb-a3c3-1a3c59b14eba","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",35.04,-83.19,NA,NA,NA,NA
"660ee78a-2e10-4479-8fc5-dfc28937c183","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",37.37,-80.52,2015-07-28,2015,7,28
"686ba833-f985-4d49-9798-954bba674a8b","Galax urceolata","PreservedSpecimen",NA,"location information not given for endangered species",37.64,-78.78,NA,NA,NA,NA
"6922faac-1bb1-4f75-a49c-a1bc5e5434de","Galax urceolata","PreservedSpecimen",NA,NA,38.9,-77.06,1989-05-26,1989,5,26
