"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571294356",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-25,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571294356",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-25,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571276657",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-25,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571276657",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-25,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571241936",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-25,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571241936",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-25,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571241720",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-25,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-25","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571241720",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-25,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571271210",NA,NA,NA,"bison",35.113792,-79.334458,"gbif",2013-04-24,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","2013-04-24","http://www.nhm.uio.no","Natural History Museum, University of Oslo","https://ipt.gbif.no/resource?r=o_dna_plants","US","Hoke","Hoke","Fort Bragg military installation",35.113792,-79.33446,"2571271210",NA,NA,NA,"bison",35.113792,-79.33446,"bison",2013-04-24,"Pyxidanthera brevifolia"
