"name","lat","long"
"Pyxidanthera barbulata",39.75,-74.67
"Pyxidanthera barbulata",39.77,-74.88
"Pyxidanthera barbulata",39.75,-74.93
"Pyxidanthera barbulata",39.97,-74.68
"Pyxidanthera barbulata",39.78,-74.84
"Pyxidanthera barbulata",39.6,-74.94
"Pyxidanthera barbulata",39.95,-74.17
"Pyxidanthera barbulata",39.78,-74.8
"Pyxidanthera barbulata",39.82,-74.42
"Pyxidanthera barbulata",33.99,-78.02
"Pyxidanthera barbulata",39.54,-75.07
"Pyxidanthera barbulata",40.29,-74.09
"Pyxidanthera barbulata",39.64,-74.8
"Pyxidanthera barbulata",39.95,-74.38
"Pyxidanthera barbulata",39.78,-74.48
"Pyxidanthera barbulata",39.6,-74.91
"Pyxidanthera barbulata",39.97,-74.58
"Pyxidanthera barbulata",34.55,-77.93
"Pyxidanthera barbulata",39.75,-74.22
"Pyxidanthera barbulata",39.85,-74.63
"Pyxidanthera barbulata",39.49,-75.03
"Pyxidanthera barbulata",40,-74.33
"Pyxidanthera barbulata",39.69,-74.48
"Pyxidanthera barbulata",40.18,-74.42
"Pyxidanthera barbulata",39.82,-74.53
"Pyxidanthera barbulata",40.14,-74.44
"Pyxidanthera barbulata",39.8,-74.22
"Pyxidanthera barbulata",34.55,-77.81
"Pyxidanthera barbulata",39.77,-74.91
"Pyxidanthera barbulata",39.52,-74.94
"Pyxidanthera barbulata",39.59,-74.95
"Pyxidanthera barbulata",39.57,-74.88
"Pyxidanthera barbulata",39.81,-74.93
"Pyxidanthera barbulata",40.07,-74.22
"Pyxidanthera barbulata",39.81,-74.98
"Pyxidanthera barbulata",39.84,-74.19
"Pyxidanthera barbulata",39.62,-74.89
"Pyxidanthera barbulata",39.58,-74.94
"Pyxidanthera barbulata",39.83,-74.95
"Pyxidanthera barbulata",36.82,-76.86
"Pyxidanthera barbulata",39.52,-74.87
"Pyxidanthera barbulata",34.9,-77.49
"Pyxidanthera barbulata",34.08,-78.02
"Pyxidanthera barbulata",40.07,-74.13
"Pyxidanthera barbulata",39.77,-74.89
"Pyxidanthera barbulata",39.39,-75.11
"Pyxidanthera barbulata",39.78,-74.91
"Pyxidanthera barbulata",40.08,-74.2
"Pyxidanthera barbulata",40.1,-74.22
"Pyxidanthera barbulata",39.81,-74.53
"Pyxidanthera barbulata",39.75,-74.37
"Pyxidanthera barbulata",40.38,-74.4
"Pyxidanthera barbulata",39.81,-74.42
"Pyxidanthera barbulata",39.64,-74.59
"Pyxidanthera barbulata",36.82,-76.85
"Pyxidanthera barbulata",39.75,-74.46
"Pyxidanthera barbulata",39.45,-74.76
"Pyxidanthera barbulata",40.16,-74.34
"Pyxidanthera barbulata",39.71,-74.77
"Pyxidanthera barbulata",39.57,-75.06
"Pyxidanthera barbulata",39.89,-74.7
"Pyxidanthera barbulata",39.55,-74.94
"Pyxidanthera barbulata",39.58,-75.08
"Pyxidanthera barbulata",39.78,-74.36
"Pyxidanthera barbulata",39.95,-74.3
"Pyxidanthera barbulata",40.06,-74.13
"Pyxidanthera barbulata",40.31,-74.4
"Pyxidanthera barbulata",40.01,-74.31
"Pyxidanthera barbulata",39.66,-74.41
"Pyxidanthera barbulata",39.79,-74.97
"Pyxidanthera barbulata",39.8,-75.24
"Pyxidanthera barbulata",39.77,-74.74
"Pyxidanthera barbulata",39.96,-74.38
"Pyxidanthera barbulata",39.62,-74.44
"Pyxidanthera barbulata",39.74,-74.73
"Pyxidanthera barbulata",40.15,-74.53
"Pyxidanthera barbulata",39.87,-74.47
"Pyxidanthera barbulata",39.96,-74.21
"Pyxidanthera barbulata",40.06,-74.27
"Pyxidanthera barbulata",39.85,-74.29
"Pyxidanthera barbulata",40.46,-74.36
"Pyxidanthera barbulata",40.38,-74.27
"Pyxidanthera barbulata",39.75,-74.99
"Pyxidanthera barbulata",39.64,-74.65
"Pyxidanthera barbulata",40.02,-74.56
"Pyxidanthera barbulata",39.63,-74.9
"Pyxidanthera barbulata",39.72,-74.9
"Pyxidanthera barbulata",39.57,-74.83
"Pyxidanthera barbulata",39.65,-75
"Pyxidanthera barbulata",40.14,-74.39
"Pyxidanthera barbulata",40.16,-74.13
"Pyxidanthera barbulata",39.4,-75.04
"Pyxidanthera barbulata",39.66,-75
"Pyxidanthera barbulata",40.03,-74.3
"Pyxidanthera barbulata",39.65,-74.44
